simulation_name,total_time,combined_cpu_time,combined_gpu_time,combined_avg_cpu_usage,combined_gpu_utilization,gpu_cpu_ratio,n_gpu_variants,n_cpu_variants
BOX,26.347311557037756,0.4255066020414233,16.58460865705274,12.326562500000001,9,0.0324905392539766,1,31
BOX,25.379726734012365,0.3828320309985429,16.241781912045553,3.73125,8,0.0324905392539766,1,31
BOX,25.227668355917558,0.4110582659486681,16.112134382128716,8.042187499999999,8,0.0324905392539766,1,31
BOX,28.010993434814736,0.5373433101922274,17.024830056121573,4.471875,8,0.05557075261595479,7,121
BOX,28.894859741907567,0.5456883809529245,17.415867915842682,8.087499999999999,9,0.05557075261595479,7,121
BOX,28.438112681964412,0.5578167862258852,17.45803737011738,5.692187500000001,8,0.05557075261595479,7,121
BOX,28.0182297360152,0.7908964320085943,17.23666583094746,21.489062500000003,9,0.08375616017206933,21,235
BOX,28.258577783126384,0.7404475009534508,17.548317461041734,8.190625,9,0.08375616017206933,21,235
BOX,26.913999149110168,0.790965992026031,16.40670764283277,30.320312500000004,9,0.08375616017206933,21,235
BOX,28.85096611501649,1.002716677961871,17.60910443100147,45.934375,8,0.11011909975863499,56,456
BOX,28.443514383165166,1.021681244019419,17.305608917027712,38.571875,8,0.11011909975863499,56,456
BOX,28.17455777293071,0.9710833129938692,17.048846416175365,27.523437500000004,9,0.11011909975863499,56,456
BOX,28.02655543992296,1.075392003171146,16.801819613203406,27.198437499999997,9,0.12842983532781693,131,893
BOX,28.87787171290256,1.0921660710591823,17.547005299013108,52.89843750000001,8,0.12842983532781693,131,893
BOX,28.31635275389999,1.0776464219670743,17.08504063403234,60.118750000000006,9,0.12842983532781693,131,893
BOX,28.49130452796817,1.2140782540664077,17.474835943896323,57.8984375,9,0.12972771181520615,266,1790
BOX,28.71876117796637,1.2697664420120418,17.838893245207146,43.02812500000001,9,0.12972771181520615,266,1790
BOX,28.444593355059624,1.2230555708520114,17.384857810102403,39.94843749999999,9,0.12972771181520615,266,1790
BOX,28.123237296007574,1.5244466071017087,17.2769920991268,55.92968750000001,10,0.14483671991331593,593,3503
BOX,28.514559369999915,1.5816935980692506,17.744108004961163,50.83437499999999,11,0.14483671991331593,593,3503
BOX,28.645617665024474,1.5592279259581119,17.469174976926297,33.7859375,11,0.14483671991331593,593,3503
BOX,29.005909624975175,2.1641612539533526,17.794295175932348,50.453125,14,0.15143027214731397,1240,6952
BOX,28.92342979204841,2.177227718057111,17.765546560985968,54.2,14,0.15143027214731397,1240,6952
BOX,28.7681073511485,2.1663148729130626,17.76167192403227,48.6078125,12,0.15143027214731397,1240,6952
BOX,29.575844457140192,3.4562188000418246,18.30695623694919,46.568359375,19,0.15425541935843246,2527,13857
BOX,29.757647298974916,3.3270368929952383,18.59671927592717,49.567708333333336,19,0.15425541935843246,2527,13857
BOX,29.503759208135307,3.3644584838766605,18.295144255040213,56.971875000000004,17,0.15425541935843246,2527,13857
BOX,32.116137315984815,5.91345386300236,19.675030214013532,49.73828125,25,0.1326570405617895,4346,28422
BOX,31.17736503807828,5.915806936100125,18.897825548890978,46.64088541666666,26,0.1326570405617895,4346,28422
BOX,31.514513382920995,6.030059364857152,19.21434114105068,50.50546875,23,0.1326570405617895,4346,28422
BOX,37.634965911041945,10.656755039002746,23.84470846108161,52.55953125,42,0.15609393858432707,10229,55307
BOX,36.88578553311527,10.613825129112229,23.34671794413589,48.63735795454545,43,0.15609393858432707,10229,55307
BOX,37.267595056211576,10.637730209855363,23.462223862996325,50.15426136363636,40,0.15609393858432707,10229,55307
BOX,58.26322866091505,20.167432000860572,40.03087609587237,51.025625,74,0.1610787635887262,21112,109960
BOX,56.12981037190184,20.318145849043503,39.90311967115849,52.171718750000004,77,0.1610787635887262,21112,109960
BOX,54.247141948202625,20.366477198898792,39.123521839035675,51.373828125,73,0.1610787635887262,21112,109960
BOX,68.40466833114624,38.73802150413394,53.57767473394051,51.357812499999994,81,0.1668348696543286,42709,213291
BOX,69.30199202592485,38.862507443875074,53.98132834304124,51.39907852564103,79,0.1668348696543286,42709,213291
BOX,68.54885493800975,38.95893359091133,53.92194094811566,50.95152243589744,78,0.1668348696543286,42709,213291
BOX,94.04795980406925,76.58383164112456,79.5604075519368,51.97685032894736,89,0.1670345569033509,85521,426479
BOX,93.96578823914751,76.98110447311774,78.42340186820365,51.568161525974034,91,0.1670345569033509,85521,426479
BOX,94.30249124998227,77.3708116679918,79.13384515000507,51.71187094155845,91,0.1670345569033509,85521,426479
BOX_AND_BALL,17.005877912975848,0.349697110010311,11.789541869889945,2.1328125,2,0.03587118896084229,1,31
BOX_AND_BALL,16.96166105894372,0.3721069870516658,11.640953087015077,4.9796875,2,0.03587118896084229,1,31
BOX_AND_BALL,16.7193913878873,0.372924760915339,11.557245393050835,7.3265625000000005,2,0.03587118896084229,1,31
BOX_AND_BALL,17.0402569770813,0.5013000650797039,11.570241826120764,11.884374999999997,1,0.05070062712608325,6,122
BOX_AND_BALL,17.119004389969632,0.5243251360952854,11.61114383302629,12.581249999999997,1,0.05070062712608325,6,122
BOX_AND_BALL,17.724019209854305,0.5055239060893655,11.780863946070895,7.081249999999999,1,0.05070062712608325,6,122
BOX_AND_BALL,17.60695128305815,0.7821645671501756,11.670093066990376,20.109375,1,0.08603272423784802,22,234
BOX_AND_BALL,17.627139994176105,0.7267584479413927,11.673762327991426,17.853125000000002,1,0.08603272423784802,22,234
BOX_AND_BALL,17.7115497761406,0.7799720140174031,11.625728104962036,17.9,1,0.08603272423784802,22,234
