simulation_name,n_variants,n_steps,cpu_time,gpu_time,gpu_win,speed_difference,gpu_utilization,avg_cpu_usage,gpu_cpu_ratio
BOX,32,100,0.33325447305105627,6.883787490893155,worse,1965,3,3.0234375,0.04617604757128613
BOX,32,500,0.34938069712370634,5.433492687065154,worse,1455,12,0.296875,0.06041645284487107
BOX,32,1000,0.3752576159313321,10.614214188884944,worse,2728,11,0.6859375,0.03414701112085028
BOX,1024,100,1.4028615369461477,7.018064762931317,worse,400,6,76.19843749999998,0.1665923067117404
BOX,1024,500,1.498239329084754,5.2955060980748385,worse,253,12,61.4296875,0.22053215640008983
BOX,1024,1000,1.604222638066858,10.859795058844611,worse,576,13,60.42187499999998,0.1287083087554005
BOX,2056,100,1.4250424450729042,7.3001006410922855,worse,412,8,59.53437499999999,0.16332596852566095
BOX,2056,500,1.6242938498035073,5.865449936827645,worse,261,17,53.979687500000004,0.21686908071579125
BOX,2056,1000,1.8003517580218613,11.5898687238805,worse,543,18,82.73124999999999,0.13445273440083672
BOX,4096,100,1.4889899720437825,7.355885581113398,worse,394,13,58.71406249999999,0.16834493183030563
BOX,4096,500,1.7476250941399485,6.001587689155713,worse,243,25,71.61406249999999,0.22552291994190166
BOX,4096,1000,2.0643511509988457,12.484107444062829,worse,504,24,56.86171875000002,0.1418948363161695
BOX,8192,100,1.6317960701417178,7.641014799010009,worse,368,22,46.353125,0.17597642108395484
BOX,8192,500,2.0483132631052285,7.138075300026685,worse,248,41,54.88515625000001,0.22297263489656893
BOX,8192,1000,2.709389411145821,15.083903143880889,worse,456,38,74.85833333333333,0.1522702671676357
BOX,16384,100,1.8571712570264935,7.966868634102866,worse,328,35,79.109375,0.189043537852837
BOX,16384,500,2.7042946969158947,10.169314556056634,worse,276,61,91.14296875000002,0.2100649976067489
BOX,16384,1000,4.0322628288995475,22.229806564049795,worse,451,63,78.920703125,0.15353941719391317
BOX,32768,100,2.406062312889844,8.721045312006027,worse,262,53,49.914062499999986,0.21623429861561716
BOX,32768,500,3.9615114028565586,19.083357814932242,worse,381,73,73.3296875,0.17190426925046676
BOX,32768,1000,6.687040080782026,43.37250819103792,worse,548,84,96.24505208333335,0.13358171041560052
BOX,65536,100,3.4682712939102203,10.496389499865472,worse,202,72,56.76614583333333,0.24836058284037177
BOX,65536,500,6.515065792016685,28.12285728403367,worse,331,88,85.4515625,0.1880905439310646
BOX,65536,1000,11.934271886013448,64.40544568491168,worse,439,91,93.1005208333333,0.15633109822453362
BOX,131072,100,5.328981807921082,11.774365918943658,worse,120,86,48.6634375,0.31157536483636417
BOX,131072,500,11.679404558846727,50.854978285962716,worse,335,91,95.98394886363636,0.186767727249045
BOX,131072,1000,22.889431552030146,116.70042792498134,worse,409,96,96.88139204545455,0.16397632061374567
BOX_AND_BALL,32,100,0.3313377588056028,3.4163103371392936,worse,931,1,2.371875,0.0884121855422133
BOX_AND_BALL,32,500,0.34474985185079277,4.995294132968411,worse,1348,1,0.265625,0.0645593655840393
BOX_AND_BALL,32,1000,0.3412647759541869,8.947769417893142,worse,2521,1,0.390625,0.036738456208959436
BOX_AND_BALL,1024,100,1.365148990880698,3.438563419971615,worse,151,2,59.923437500000034,0.2841862447461717
BOX_AND_BALL,1024,500,1.4900480168871582,4.809469376923516,worse,222,2,55.82343750000001,0.23653367769904754
BOX_AND_BALL,1024,1000,1.545594098046422,8.915769626852125,worse,476,2,73.3484375,0.14774308003151004
BOX_AND_BALL,2056,100,1.4206256119068712,3.564055145950988,worse,150,3,50.4328125,0.28499831401788256
BOX_AND_BALL,2056,500,1.5301963998936117,4.899414210114628,worse,220,3,65.7328125,0.23799207956882018
BOX_AND_BALL,2056,1000,1.6292224330827594,9.17039225390181,worse,462,3,49.578125000000014,0.15085931121656204
BOX_AND_BALL,4096,100,1.5212234428618103,3.961889842990786,worse,160,4,81.159375,0.2774379013446314
BOX_AND_BALL,4096,500,1.5616272350307554,4.660459585953504,worse,198,4,59.51875000000002,0.2509812672115245
BOX_AND_BALL,4096,1000,1.7201328151859343,9.102414648979902,worse,429,4,84.63437499999996,0.15893973400268346
BOX_AND_BALL,8192,100,2.553504425799474,3.9153940740507096,worse,53,5,41.06406249999999,0.39473558378734985
BOX_AND_BALL,8192,500,1.7630021120421588,4.82019065390341,worse,173,5,46.164843749999996,0.2678035073136632
BOX_AND_BALL,8192,1000,1.9769245409406722,9.769991839071736,worse,394,5,54.08515625,0.16829306321652593
BOX_AND_BALL,16384,100,1.8033318968955427,3.816283564083278,worse,111,8,51.2140625,0.3208995187335184
BOX_AND_BALL,16384,500,2.1071924751158804,4.596469239098951,worse,118,10,51.559374999999996,0.3143345480347953
BOX_AND_BALL,16384,1000,3.384181091096252,9.72346899099648,worse,187,9,56.559895833333336,0.2581836614420777
BOX_AND_BALL,32768,100,2.442184807965532,3.826985443942249,worse,56,19,66.36250000000001,0.38955471136269537
BOX_AND_BALL,32768,500,2.869776090141386,4.644578241975978,worse,61,19,79.74166666666667,0.38190587817712773
BOX_AND_BALL,32768,1000,3.7357083328533918,9.134988217847422,worse,144,19,87.4640625,0.29024911885207805
BOX_AND_BALL,65536,100,4.330486847087741,3.808976330095902,better,13,40,44.255859375,0.5320359282694297
BOX_AND_BALL,65536,500,4.2802881840616465,4.5190591448917985,worse,5,39,87.129296875,0.4864324618688196
BOX_AND_BALL,65536,1000,6.170106898061931,9.052747392794117,worse,46,39,89.04401041666667,0.4053186597055025
BOX_AND_BALL,131072,100,6.299132192041725,3.9432576899416745,better,59,78,41.62942708333334,0.6150060937557205
BOX_AND_BALL,131072,500,6.8728026589378715,4.823535967851058,better,42,74,89.66160714285715,0.5876029138893618
BOX_AND_BALL,131072,1000,11.74456207617186,9.146574737038463,better,28,78,90.39019886363636,0.5621791758476873
ARM_WITH_ROPE,32,100,0.32300942996516824,24.29901285097003,worse,7422,12,0.5,0.01311872056160368
ARM_WITH_ROPE,32,500,0.35030074208043516,7.359365096082911,worse,2000,14,0.7,0.04543656617987557
ARM_WITH_ROPE,32,1000,0.3838445898145437,12.975214903941378,worse,3280,14,1.234375,0.0287329051864732
ARM_WITH_ROPE,1024,100,1.481760062975809,23.0104736329522,worse,1452,24,38.99843750000001,0.06049918032678914
ARM_WITH_ROPE,1024,500,1.5062977010384202,7.652220534859225,worse,408,27,59.48281249999999,0.16446958582605087
ARM_WITH_ROPE,1024,1000,1.6203896179795265,15.464694767957553,worse,854,29,60.91874999999998,0.09484235379681749
ARM_WITH_ROPE,2056,100,1.5311559000983834,25.855043871095404,worse,1588,40,86.309375,0.0559097615912717
ARM_WITH_ROPE,2056,500,1.6773892550263554,9.038336928002536,worse,438,39,75.35312500000003,0.15653528527846605
ARM_WITH_ROPE,2056,1000,1.9678953890688717,18.155975217930973,worse,822,39,68.5625,0.09778910963502041
ARM_WITH_ROPE,4096,100,1.5905730600934476,24.096686168108135,worse,1414,50,63.03437499999998,0.06192069951733836
ARM_WITH_ROPE,4096,500,1.8729339689016342,11.891894350992516,worse,534,54,81.4140625,0.13606664212402153
ARM_WITH_ROPE,4096,1000,2.255128483986482,24.087132091168314,worse,968,56,59.3453125,0.08560876837250064
ARM_WITH_ROPE,8192,100,1.7899520550854504,25.840102490969002,worse,1343,67,76.17499999999998,0.06478279122112895
ARM_WITH_ROPE,8192,500,2.404152031056583,18.248855364974588,worse,659,69,66.9296875,0.11640687406709505
ARM_WITH_ROPE,8192,1000,3.039181781001389,37.08017524005845,worse,1120,67,69.46718750000001,0.07575350171753825
ARM_WITH_ROPE,16384,100,2.2100602728314698,30.3680820541922,worse,1274,85,57.43359374999999,0.06783874447617655
ARM_WITH_ROPE,16384,500,3.1493937622290105,42.34122470789589,worse,1244,89,82.95052083333333,0.06923172003689759
ARM_WITH_ROPE,16384,1000,4.60610763495788,87.74933269899338,worse,1805,87,92.36640625,0.04987370119510548
ARM_WITH_ROPE,32768,100,2.974768652115017,35.16654299595393,worse,1082,89,65.45520833333332,0.07799334956184256
ARM_WITH_ROPE,32768,500,4.746378667885438,77.19847454805858,worse,1526,94,94.30390625,0.0579216202313233
ARM_WITH_ROPE,32768,1000,7.819202782120556,161.30568019510247,worse,1962,96,97.70334821428571,0.046233307863832285
ARM_WITH_ROPE,65536,100,6.080565192969516,47.17942198202945,worse,675,95,50.82447916666666,0.1141676052791808
ARM_WITH_ROPE,65536,500,8.038818679051474,145.63008113880642,worse,1711,100,87.44921875,0.05231259343028938
ARM_WITH_ROPE,65536,1000,15.720556779997423,304.4088327791542,worse,1836,100,87.45229166666668,0.04910688394353957
ARM_WITH_ROPE,131072,100,7.389551305910572,62.3056981919799,worse,743,100,75.50089285714286,0.10602661385313272
ARM_WITH_ROPE,131072,500,14.885939365020022,220.4260019431822,worse,1380,100,94.59531250000002,0.06326045028680893
ARM_WITH_ROPE,131072,1000,27.044181081932038,455.97651843191124,worse,1586,100,96.85914351851852,0.05598969383538177
HUMANOID,32,100,0.37154083605855703,23.01441574515775,worse,6094,8,0.6859375,0.01588734823688931
HUMANOID,32,500,0.47363205603323877,5.215069907950237,worse,1001,8,0.9515625000000001,0.08325837054426755
